Date,DL.Nearest.Settlement,BJ.Nearest.Settlement
2016-11-08,16.79,1.775
2016-11-09,16.79,1.769
2016-11-10,16.81,1.769
2016-11-11,16.71,1.756
2016-11-14,16.68,1.752
2016-11-15,16.7,1.755
2016-11-16,16.69,1.756
2016-11-17,16.73,1.76
2016-11-18,16.75,1.76
2016-11-21,16.76,1.76
2016-11-22,16.76,1.76
2016-11-23,16.74,1.758
2016-11-25,16.74,1.758
2016-11-28,16.72,1.757
2016-11-29,16.92,1.755
2016-11-30,16.94,1.754
2016-12-01,16.99,1.761
2016-12-02,17.16,1.778
2016-12-05,17.03,1.771
2016-12-06,16.98,1.767
2016-12-07,16.93,1.764
2016-12-08,17.07,1.774
2016-12-09,17.1,1.776
2016-12-12,17.17,1.785
2016-12-13,17.23,1.788
2016-12-14,17.25,1.791
2016-12-15,17.31,1.795
2016-12-16,17.32,1.795
2016-12-19,17.34,1.793
2016-12-20,17.33,1.793
2016-12-21,17.31,1.793
2016-12-22,17.38,1.798
2016-12-23,17.38,1.798
2016-12-27,17.38,1.798
2016-12-28,17.38,1.798
2016-12-29,17.38,1.798
2016-12-30,17.39,1.8
